Position,MeanYear,Longitude,Latitude
Forward,1871,-1.3811,54.9061
Defender,1872,-2.7464,57.6617
,1872,-3.1833,55.95
Forward,1872.5,-2.7464,57.6617
,1872.5,-3.1833,55.95
Defender,1873,-0.1908,51.5003
,1873,-3.1833,55.95
Forward,1873,78.0833,30.45
Forward,1874,,
Defender,1874,-4.9231,55.9469
Defender,1875,-1.9681,51.7189
Forward,1875,-99.1333,19.4333
Goalkeeper,1875,-1.4669,53.3836
Forward,1875.5,-3.1833,55.95
Forward,1876,-0.1219,51.5872
Midfielder,1876.5,-4.7842,56.0219
Defender,1877,-0.1178,51.5261
Forward,1877,0.4153,51.2917
Defender,1877,-0.1275,51.5072
Defender,1877.5,-4.5833,55.9833
Goalkeeper,1878,-0.0939,51.5189
Defender,1878.5,-1.125,51.5989
Forward,1878.5,,
Forward,1878.5,-4.7842,56.0219
Defender,1879,-2.325,52.1081
Defender,1879,-1.8936,52.4831
Goalkeeper,1879,-2.9833,53.4
Goalkeeper,1879,-0.1275,51.5072
Midfielder,1879,-0.4839,52.6561
Forward,1879,-1.4669,53.3836
Forward,1879,0,50.9
Defender,1879,-4.5739,55.9619
Forward,1879.5,-1.4669,53.3836
Forward,1880,0.0722,51.6225
Defender,1880,-0.11,51.3728
Defender,1880,-4.3669,55.8669
Defender,1880,-3.2669,56.5464
Forward,1880.5,-2.555,53.6908
Goalkeeper,1881,-0.6092,51.4881
Midfielder,1881,-2.4769,53.745
Defender,1881,-2.4769,53.745
Defender,1881,-4.2589,55.8581
Goalkeeper,1881.5,-0.0461,51.5153
Defender,1881.5,-58.17,6.8122
Defender,1882,0.6536,51.5425
Forward,1882,-0.1908,51.5003
Goalkeeper,1882,0.0211,51.4069
Forward,1882,-2.1878,53.0067
Forward,1882,-1.8833,52.5
Forward,1882,-1.1597,52.9278
,1882,-4.2881,55.8353
Forward,1882.5,0.1189,52.205
Defender,1883,-1.4669,53.3836
Defender,1883,-0.1908,51.5003
Defender,1883,-0.1908,51.5003
Forward,1883,-0.2172,51.4236
Defender,1883,-1.1686,52.9778
Forward,1883,-2.4769,53.745
Forward,1883,-1.8936,52.4831
,1883,-4.5667,55.95
Defender,1883.5,88,24
Midfielder,1883.5,-4.2589,55.8581
Defender,1884,-1.1333,52.95
Defender,1884,-2.4769,53.745
Forward,1884,-1.4669,53.3836
Defender,1884,-4.6289,55.4581
Forward,1884,-4.2333,55.4667
Forward,1884,-4.2589,55.8581
Forward,1884,-4.2589,55.8581
Forward,1885,-1.1333,52.95
Forward,1885,-4.5667,55.95
,1885,-4.4958,55.6111
Defender,1885.5,-0.09,51.4989
Defender,1885.5,-4.5667,55.9833
Forward,1885.5,-4.6614,55.62
Defender,1886,-1.1686,52.9778
Defender,1886,-2.1878,53.0067
Forward,1886,-1.1333,52.95
Midfielder,1886,-1.4667,51.2167
Defender,1886,-0.1469,51.5178
Goalkeeper,1886,-2.4769,53.745
Forward,1886,-2.4769,53.745
Goalkeeper,1886,-3.9833,55.8667
Forward,1886,-4.2589,55.8581
Midfielder,1886,-4.4236,55.8467
Forward,1887,-1.2831,53.4992
Midfielder,1887,-1.4669,53.3836
Defender,1887,-2.4769,53.745
Forward,1887,-4.5536,55.8361
Forward,1887,-4.7031,55.655
Forward,1887.5,-2.43,53.5786
Goalkeeper,1887.5,-0.1178,51.5261
Defender,1887.5,-0.2489,51.35
Defender,1887.5,-0.2489,51.35
Forward,1887.5,-0.6206,54.4858
Midfielder,1888,-0.1314,50.8431
Midfielder,1888,-1.1333,52.95
Defender,1888,-2.1333,52.5833
