PlayerName,Country,Age,Height,Position,YearsPlayed,MeanYear,Appearances,Goals,BirthPlace,Longitude,Latitude
Karl Sesta,Austria,,1.65,Defender,1941-1942,1941.5,3,0,Simmering (Vienna),16.4161,48.1739
Manfred Kern,Austria,,1.7,Midfielder,1985-1988,1986.5,3,0,Vienna,16.3667,48.2
J&#xFC;rgen Panis,Austria,39,1.7,Midfielder,2002,2002,5,0,Wiener Neustadt,16.25,47.8167
Christoph Westerthaler,Austria,49,1.7,Forward,1989-1993,1991,6,0,Silz Tyrol,10.9306,47.2653
Wolfgang Mair,Austria,34,1.72,Forward,2005,2005,3,0,Lienz,12.7697,46.8297
Roman M&#xE4;hlich,Austria,42,1.72,Midfielder,1992-2002,1997,20,0,Wiener Neustadt,16.25,47.8167
Hans Ettmayer,Austria,68,1.72,Midfielder,1968-1975,1971.5,30,0,Vienna,16.3667,48.2
Christoph Leitgeb,Austria,29,1.72,Midfielder,2006-,2010,36,0,Graz,15.4333,47.0667
Johann Dihanich,Austria,55,1.74,Midfielder,1980-1984,1982,10,0,Eisenstadt,16.5167,47.85
Richard Kitzbichler,Austria,40,1.74,Midfielder,1996-2002,1999,17,0,W&#xF6;rgl,12.0667,47.4833
Christoph Saurer,Austria,28,1.75,Midfielder,2009-,2011.5,1,0,Vienna,16.3667,48.2
&#xDC;mit Korkmaz,Austria,28,1.75,Midfielder,2008-2011,2009.5,10,0,Vienna,16.3667,48.2
Michael M&#xF6;rz,Austria,34,1.75,Midfielder,,,12,0,Eisenstadt,16.5167,47.85
Sebasti&#xE1;n Mart&#xED;nez,Austria,36,1.76,Midfielder,2005,2005,2,0,Vienna,16.3667,48.2
Gerd Wimmer,Austria,37,1.76,Midfielder,1999-2002,2000.5,5,0,Laa an der Thaya,16.3833,48.7167
Matthias Dollinger,Austria,34,1.76,Midfielder,2002-2005,2003.5,7,0,Klagenfurt,14.3,46.6167
Ekrem Da&#x11F;,Austria,33,1.76,Midfielder,2010-,2012,10,0,Mardin,40.7378,37.3167
Eduard Krieger,Austria,67,1.76,Defender,1970-1978,1974,25,0,Vienna,16.3667,48.2
Marko Stankovi&#x107;,Austria,28,1.77,Forward,2008-,2011,1,0,Leoben,15.0972,47.3817
Daniel Royer,Austria,24,1.77,Midfielder,2011-,2012.5,6,0,Schladming,13.6892,47.3942
Andreas Reisinger,Austria,50,1.77,Midfielder,1989-1990,1989.5,10,0,Vienna,16.3667,48.2
Dieter Mirnegg,Austria,60,1.77,Defender,1979-1981,1980,15,0,Klagenfurt,14.3,46.6167
Mario Kienzl,Austria,30,1.78,Midfielder,2009,2009,1,0,Feldkirch Vorarlberg,9.5983,47.2381
Klaus Salmutter,Austria,30,1.78,Midfielder,2006-2007,2006.5,4,0,Graz,15.4333,47.0667
Stefan Kulovits,Austria,31,1.78,Midfielder,2005-,2009.5,5,0,Vienna,16.3667,48.2
Michael Wagner (footballer),Austria,38,1.78,Midfielder,2002-2003,2002.5,10,0,Vienna,16.3667,48.2
Gernot Plassnegger,Austria,36,1.79,Defender,2006,2006,1,0,Leoben,15.0972,47.3817
Volkan Kahraman,Austria,34,1.79,Midfielder,2002,2002,3,0,Vienna,16.3667,48.2
Robert Ibertsberger,Austria,37,1.79,Defender,1999-2001,2000,8,0,Neumarkt am Wallersee,13.2247,47.9453
Hannes Eder,Austria,30,1.8,Defender,2006,2006,2,0,Innsbruck,11.3833,47.2667
Stefan Lexa,Austria,37,1.8,Midfielder,2001-2009,2005,6,0,Klagenfurt,14.3,46.6167
J&#xFC;rgen S&#xE4;umel,Austria,29,1.8,Midfielder,2005-,2009.5,20,0,Friesach,14.4167,46.95
Kurt Russ,Austria,49,1.8,Defender,1988-1991,1989.5,28,0,Langenwang,15.6192,47.5675
Rolf Landerl,Austria,38,1.81,Forward,2002,2002,1,0,Vienna,16.3667,48.2
Goran Kartalija,Austria,48,1.81,Defender,1996-1997,1996.5,4,0,Kljaji&#x107;evo,19.2833,45.7667
Johann Pregesbauer,Austria,59,1.81,Defender,1980-1984,1982,10,0,Austria,16.35,48.2
Ronald G&#xEB;r&#xE7;aliu,Austria,28,1.81,Defender,2005-2009,2007,14,0,Tirana,19.82,41.33
Friedrich Koncilia,Austria,66,1.81,Goalkeeper,1970-1985,1977.5,84,0,Klagenfurt,14.3,46.6167
J&#xFC;rgen Werner (footballer born 1967),Austria,47,1.82,Defender,1994,1994,2,0,Linz,14.2833,48.3
Andreas Dober,Austria,28,1.82,Defender,2005-,2009.5,3,0,Vienna,16.3667,48.2
Andreas Schranz,Austria,35,1.82,Goalkeeper,2004-2006,2005,6,0,Eisenerz,14.8833,47.55
Alen Orman,Austria,36,1.83,Defender,2002,2002,1,0,Bugojno,17.45,44.05
Andreas Lasnik,Austria,30,1.83,Midfielder,2005,2005,1,0,Voitsberg,15.15,47.0333
&#x17D;eljko Vukovi&#x107;,Austria,52,1.83,Defender,2001,2001,3,0,Dvor Croatia,16.3667,45.0667
